"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1= standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Abs(sumDiff)"
42670.6049293981,18779,1.1,2,93,.00115,505
42670.6049421296,18790,1,2,94,1.111111E-03,337
42670.6049537037,18800,1.1,2,95,.00115,433
42670.6049664352,18811,1.1,2,96,.00115,594
42670.6049791667,18822,1.3,2,97,1.227778E-03,679
42670.604994213,18835,.8,2,98,1.033333E-03,465
42670.6050034722,18843,1.1,2,99,.00115,487
42670.6050162037,18854,1,2,100,1.111111E-03,567
42670.6050277778,18864,2.1,2,101,1.538889E-03,975
42670.6050520833,18885,1.1,2,102,.00115,402
42670.6050648148,18896,1.1,2,103,.00115,522
42670.6050775463,18907,1.1,2,104,.00115,507
42670.6050902778,18918,1.2,2,105,1.188889E-03,671
42670.6051041667,18930,.9,2,106,1.072222E-03,342
42670.6051145833,18939,1.1,2,107,.00115,493
42670.6051273148,18950,1,2,108,1.111111E-03,342
42670.6051388889,18960,1.3,2,109,1.227778E-03,401
42670.6051539352,18973,.8,2,110,1.033333E-03,452
42670.6051631944,18981,1,2,111,1.111111E-03,499
42670.6051747685,18991,1.1,2,112,.00115,608
42670.6051875,19002,1.1,2,113,.00115,755
42670.6052002315,19013,1.1,2,114,.00115,513
42670.605212963,19024,1.1,2,115,.00115,385
42670.6052256944,19035,1,2,116,1.111111E-03,319
42670.6052372685,19045,1.1,2,117,.00115,336
42670.60525,19056,1.1,2,118,.00115,551
42670.6052627315,19067,1.1,2,119,.00115,522
42670.605275463,19078,1.1,2,120,.00115,633
42670.6052881944,19089,1.1,2,121,.00115,475
42670.6053009259,19100,1.1,2,122,.00115,422
42670.6053136574,19111,1.1,2,123,.00115,420
42670.6053263889,19122,1,2,124,1.111111E-03,252
42670.605337963,19132,1.1,2,125,.00115,566
42670.6053506944,19143,1.1,2,126,.00115,367
42670.6053634259,19154,1.1,2,127,.00115,281
42670.6053761574,19165,1.1,2,128,.00115,476
42670.6053888889,19176,1.4,2,129,1.266667E-03,362
42670.6054050926,19190,1.2,2,130,1.188889E-03,500
42670.6054189815,19202,1.4,2,131,1.266667E-03,255
42670.6054351852,19216,129.8,1,131,5.047778E-02,2339
42670.6069375,20514,4.2,2,132,2.355556E-03,283
42670.6069861111,20556,1.1,2,133,.00115,323
42670.6069988426,20567,1.4,2,134,1.266667E-03,503
42670.6070150463,20581,1.4,2,135,1.266667E-03,461
42670.60703125,20595,1.2,2,136,1.188889E-03,453
42670.6070451389,20607,4.3,2,137,2.394445E-03,307
42670.6070949074,20650,1.4,2,138,1.266667E-03,469
42670.6071111111,20664,1.3,2,139,1.227778E-03,477
42670.6071261574,20677,1.4,2,140,1.266667E-03,472
42670.6071423611,20691,1.3,2,141,1.227778E-03,411
42670.6071574074,20704,1.3,2,142,1.227778E-03,454
42670.6071724537,20717,1.4,2,143,1.266667E-03,469
42670.6071886574,20731,1.2,2,144,1.188889E-03,237
42670.6072025463,20743,1.3,2,145,1.227778E-03,323
42670.6072175926,20756,1.7,2,146,1.383333E-03,410
42670.6072372685,20773,7.5,1,146,2.916667E-03,877
42670.6073240741,20848,1.2,2,147,1.188889E-03,276
42670.607337963,20860,9.5,1,147,3.694444E-03,568
42670.6074479167,20955,1.2,2,148,1.188889E-03,294
42670.6074618056,20967,2.6,2,149,1.733333E-03,169
42670.6074918981,20993,2.4,2,150,1.655556E-03,257
42670.6075196759,21017,1.7,1,150,6.611111E-04,283
42670.6075393518,21034,103.8,0,150,3.604167E-02,1590
42670.6087407407,22072,79.3,1,150,3.083889E-02,822
42670.6096585648,22865,15.2,0,150,5.277778E-03,313
42670.6098344907,23017,15,1,150,5.833333E-03,120
42670.6100081019,23167,84.4,0,150,2.930556E-02,1517
42670.6109849537,24011,1,1,150,3.888889E-04,278
42670.6109965278,24021,1.1,2,151,.00115,482
42670.6110092593,24032,1.4,2,152,1.266667E-03,249
42670.611025463,24046,6.8,1,152,2.644445E-03,274
42670.6111041667,24114,1.3,2,153,1.227778E-03,124
42670.611119213,24127,7.9,1,153,3.072222E-03,380
42670.6112106481,24206,1.9,2,154,1.461111E-03,331
42670.6112326389,24225,2.9,2,155,.00185,359
42670.6112662037,24254,1.7,1,155,6.611111E-04,469
42670.6112858796,24271,1331.2,0,155,.4622222,17924
42670.626693287,37583,1.1,1,155,4.277778E-04,229
42670.6267060185,37594,.8,2,156,1.033333E-03,234
42670.6267152778,37602,1.2,2,157,1.188889E-03,249
42670.6267291667,37614,1.4,2,158,1.266667E-03,382
42670.6267453704,37628,1.6,2,159,1.344444E-03,406
42670.6267638889,37644,3.3,2,160,2.005555E-03,379
42670.6268020833,37677,69.8,1,160,2.714445E-02,936
42670.6276099537,38375,2.4,2,161,1.655556E-03,255
42670.6276377315,38399,1.5,2,162,1.305556E-03,432
42670.6276550926,38414,4,2,163,2.277778E-03,562
42670.6277013889,38454,1.7,1,163,6.611111E-04,563
42670.6277210648,38471,615.9,0,163,.2138542,6438
42670.634849537,44630,13.8,1,163,5.366667E-03,597
42670.6350092593,44768,1.6,2,164,1.344444E-03,217
42670.6350277778,44784,5.8,2,165,2.977778E-03,635
42670.6350949074,44842,2.6,2,166,1.733333E-03,678
42670.635125,44868,1.3,2,167,1.227778E-03,460
42670.6351400463,44881,1.3,2,168,1.227778E-03,386
42670.6351550926,44894,1.4,2,169,1.266667E-03,377
42670.6351712963,44908,1.1,2,170,.00115,341
42670.6351840278,44919,1.2,2,171,1.188889E-03,562
42670.6351979167,44931,1.3,2,172,1.227778E-03,394
42670.635212963,44944,1.4,2,173,1.266667E-03,339
42670.6352291667,44958,1.4,2,174,1.266667E-03,348
42670.6352453704,44972,1.2,2,175,1.188889E-03,421
42670.6352592593,44984,.8,2,176,1.033333E-03,229
42670.6352685185,44992,1.4,2,177,1.266667E-03,311
42670.6352847222,45006,1.7,2,178,1.383333E-03,661
42670.6353043982,45023,2.3,2,179,1.616667E-03,376
42670.6353310185,45046,1.4,2,180,1.266667E-03,413
42670.6353472222,45060,1.3,2,181,1.227778E-03,512
42670.6353622685,45073,135.7,1,181,5.277222E-02,2104
42670.6369328704,46430,4,2,182,2.277778E-03,332
42670.6369791667,46470,1.3,2,183,1.227778E-03,237
42670.636994213,46483,1.2,2,184,1.188889E-03,579
42670.6370081019,46495,1.4,2,185,1.266667E-03,549
42670.6370243056,46509,2,2,186,.0015,121
42670.6370474537,46529,34.8,1,186,1.353333E-02,822
42670.6374502315,46877,2,2,187,.0015,420
42670.6374733796,46897,50.5,1,187,1.963889E-02,1386
42670.6380578704,47402,1.5,2,188,1.305556E-03,272
42670.6380752315,47417,100.8,1,188,.0392,1492
42670.6392418981,48425,1.5,2,189,1.305556E-03,429
42670.6392592593,48440,150.8,1,189,5.864444E-02,1490
42670.6410046296,49948,5.8,2,190,2.977778E-03,328
42670.6410717593,50006,24.4,1,190,9.488889E-03,705
42670.6413541667,50250,1.5,2,191,1.305556E-03,346
42670.6413715278,50265,1.4,2,192,1.266667E-03,328
42670.6413877315,50279,10.8,1,192,.0042,474
42670.6415127315,50387,1.1,2,193,.00115,218
42670.641525463,50398,1.2,2,194,1.188889E-03,462
42670.6415393518,50410,1.3,2,195,1.227778E-03,516
42670.6415543981,50423,.9,2,196,1.072222E-03,319
42670.6415648148,50432,1.1,2,197,.00115,417
42670.6415775463,50443,1.1,2,198,.00115,341
42670.6415902778,50454,1.1,2,199,.00115,577
42670.6416030093,50465,1.1,2,200,.00115,497
42670.6416157407,50476,1.1,2,201,.00115,327
42670.6416284722,50487,1.1,2,202,.00115,461
42670.6416412037,50498,1.1,2,203,.00115,326
42670.6416539352,50509,1,2,204,1.111111E-03,321
42670.6416655093,50519,1.1,2,205,.00115,411
42670.6416782407,50530,1.1,2,206,.00115,650
42670.6416909722,50541,1.1,2,207,.00115,561
42670.6417037037,50552,1.1,2,208,.00115,509
42670.6417164352,50563,1.1,2,209,.00115,391
42670.6417291667,50574,1.1,2,210,.00115,472
42670.6417418981,50585,1.1,2,211,.00115,517
42670.6417546296,50596,1.1,2,212,.00115,461
42670.6417673611,50607,1.1,2,213,.00115,451
42670.6417800926,50618,1.1,2,214,.00115,520
42670.6417928241,50629,1.6,2,215,1.344444E-03,543
42670.6418113426,50645,1.7,2,216,1.383333E-03,688
42670.6418310185,50662,1,2,217,1.111111E-03,265
42670.6418425926,50672,1.1,2,218,.00115,584
42670.6418553241,50683,1.3,2,219,1.227778E-03,678
42670.6418703704,50696,1,2,220,1.111111E-03,437
