"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1= standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Abs(sumDiff)"
42444.9820243056,344579,1.4,2,66,1.266667E-03,288
42444.9820405093,344593,1.7,2,67,1.383333E-03,324
42444.9820601852,344610,1.5,2,68,1.305556E-03,356
42444.9820775463,344625,1.5,2,69,1.305556E-03,300
42444.9820949074,344640,1.5,2,70,1.305556E-03,281
42444.9821122685,344655,1.4,2,71,1.266667E-03,283
42444.9821284722,344669,1.3,2,72,1.227778E-03,499
42444.9821435185,344682,1.3,2,73,1.227778E-03,311
42444.9821585648,344695,1.5,2,74,1.305556E-03,289
42444.9821759259,344710,1.4,2,75,1.266667E-03,353
42444.9821921296,344724,1.2,2,76,1.188889E-03,472
42444.9822060185,344736,1.2,2,77,1.188889E-03,469
42444.9822199074,344748,.7,2,78,9.944445E-04,262
42444.9822280093,344755,.7,2,79,9.944445E-04,107
42444.9822361111,344762,1.3,2,80,1.227778E-03,447
42444.9822511574,344775,1.3,2,81,1.227778E-03,351
42444.9822662037,344788,15.4,1,81,5.988888E-03,616
42444.9824444444,344942,1.3,2,82,1.227778E-03,459
42444.9824594907,344955,1.3,2,83,1.227778E-03,370
42444.982474537,344968,1.6,2,84,1.344444E-03,326
42444.9824930556,344984,1.3,2,85,1.227778E-03,358
42444.9825081019,344997,1.3,2,86,1.227778E-03,311
42444.9825231482,345010,1.2,2,87,1.188889E-03,432
42444.982537037,345022,1.2,2,88,1.188889E-03,253
42444.9825509259,345034,1.5,2,89,1.305556E-03,201
42444.982568287,345049,1.5,2,90,1.305556E-03,329
42444.9825856481,345064,1.4,2,91,1.266667E-03,503
42444.9826018519,345078,1.4,2,92,1.266667E-03,313
42444.9826180556,345092,1.4,2,93,1.266667E-03,300
42444.9826342593,345106,2.3,2,94,1.616667E-03,662
42444.9826608796,345129,1.4,2,95,1.266667E-03,280
42444.9826770833,345143,1.7,2,96,1.383333E-03,372
42444.9826967593,345160,1.2,2,97,1.188889E-03,281
42444.9827106482,345172,1.2,2,98,1.188889E-03,394
42444.982724537,345184,1.3,2,99,1.227778E-03,274
42444.9827395833,345197,1.2,2,100,1.188889E-03,357
42444.9827534722,345209,1.1,2,101,.00115,372
42444.9827662037,345220,1.1,2,102,.00115,295
42444.9827789352,345231,1.4,2,103,1.266667E-03,320
42444.9827951389,345245,1.4,2,104,1.266667E-03,305
42444.9828113426,345259,1.1,2,105,.00115,384
42444.9828240741,345270,1.3,2,106,1.227778E-03,463
42444.9828391204,345283,1.9,2,107,1.461111E-03,635
42444.9828611111,345302,1.6,2,108,1.344444E-03,446
42444.9828796296,345318,1.2,2,109,1.188889E-03,366
42444.9828935185,345330,1.5,2,110,1.305556E-03,258
42444.9829108796,345345,1.2,2,111,1.188889E-03,354
42444.9829247685,345357,1.4,2,112,1.266667E-03,388
42444.9829409722,345371,1.4,2,113,1.266667E-03,304
42444.9829571759,345385,1.2,2,114,1.188889E-03,366
42444.9829710648,345397,1.2,2,115,1.188889E-03,363
42444.9829849537,345409,1.2,2,116,1.188889E-03,412
42444.9829988426,345421,1.4,2,117,1.266667E-03,198
42444.9830150463,345435,.8,2,118,1.033333E-03,324
42444.9830243056,345443,1.8,2,119,1.422222E-03,440
42444.9830451389,345461,1.2,2,120,1.188889E-03,458
42444.9830590278,345473,1.3,2,121,1.227778E-03,345
42444.9830740741,345486,1.3,2,122,1.227778E-03,235
42444.9830891204,345499,.7,2,123,9.944445E-04,203
42444.9830972222,345506,1.9,2,124,1.461111E-03,464
42444.983119213,345525,1.5,2,125,1.305556E-03,377
42444.9831365741,345540,1.5,2,126,1.305556E-03,340
42444.9831539352,345555,1.4,2,127,1.266667E-03,375
42444.9831701389,345569,1.3,2,128,1.227778E-03,235
42444.9831851852,345582,1.5,2,129,1.305556E-03,371
42444.9832025463,345597,1.2,2,130,1.188889E-03,457
42444.9832164352,345609,1.5,2,131,1.305556E-03,183
42444.9832337963,345624,1.3,2,132,1.227778E-03,161
42444.9832488426,345637,1.6,2,133,1.344444E-03,349
42444.9832673611,345653,.7,2,134,9.944445E-04,243
42444.983275463,345660,1.2,2,135,1.188889E-03,470
42444.9832893519,345672,.9,2,136,1.072222E-03,217
42444.9832997685,345681,1.3,2,137,1.227778E-03,494
42444.9833148148,345694,1.8,2,138,1.422222E-03,710
42444.9833356481,345712,.7,2,139,9.944445E-04,177
42444.98334375,345719,1.2,2,140,1.188889E-03,237
42444.9833576389,345731,1.5,2,141,1.305556E-03,283
42444.983375,345746,1.2,2,142,1.188889E-03,364
42444.9833888889,345758,2,2,143,.0015,727
42444.983412037,345778,.8,2,144,1.033333E-03,143
42444.9834212963,345786,1.3,2,145,1.227778E-03,411
42444.9834363426,345799,1.5,2,146,1.305556E-03,445
42444.9834537037,345814,1.3,2,147,1.227778E-03,302
42444.98346875,345827,1.2,2,148,1.188889E-03,270
42444.9834826389,345839,1.1,2,149,.00115,353
42444.9834953704,345850,2.4,2,150,1.655556E-03,550
42444.9835231481,345874,1.6,2,151,1.344444E-03,330
42444.9835416667,345890,1.6,2,152,1.344444E-03,355
42444.9835601852,345906,1.6,2,153,1.344444E-03,400
42444.9835787037,345922,2,2,154,.0015,623
42444.9836018519,345942,1,2,155,1.111111E-03,130
42444.9836134259,345952,.8,2,156,1.033333E-03,242
42444.9836226852,345960,2,2,157,.0015,571
42444.9836458333,345980,1.3,2,158,1.227778E-03,462
42444.9836608796,345993,1.2,2,159,1.188889E-03,390
42444.9836747685,346005,1.2,2,160,1.188889E-03,477
42444.9836886574,346017,1.1,2,161,.00115,291
42444.9837013889,346028,1.2,2,162,1.188889E-03,309
42444.9837152778,346040,1.1,2,163,.00115,321
42444.9837280093,346051,1.1,2,164,.00115,318
42444.9837407407,346062,1.1,2,165,.00115,236
42444.9837534722,346073,1.1,2,166,.00115,326
42444.9837662037,346084,1.1,2,167,.00115,307
42444.9837789352,346095,1.2,2,168,1.188889E-03,442
42444.9837928241,346107,1.1,2,169,.00115,346
42444.9838055556,346118,1.2,2,170,1.188889E-03,453
42444.9838194444,346130,1.1,2,171,.00115,317
42444.9838321759,346141,1.2,2,172,1.188889E-03,375
42444.9838460648,346153,3.1,2,173,1.927778E-03,504
42444.9838819444,346184,2.9,2,174,.00185,269
42444.9839155093,346213,1.5,2,175,1.305556E-03,279
42444.9839328704,346228,1.5,2,176,1.305556E-03,212
42444.9839502315,346243,1.4,2,177,1.266667E-03,203
42444.9839664352,346257,1.5,2,178,1.305556E-03,328
42444.9839837963,346272,2.8,2,179,1.811111E-03,538
42444.9840162037,346300,20.4,1,179,7.933333E-03,703
42444.9842523148,346504,2,2,180,.0015,196
42444.984275463,346524,1.4,2,181,1.266667E-03,399
42444.9842916667,346538,.9,2,182,1.072222E-03,254
42444.9843020833,346547,1.1,2,183,.00115,448
42444.9843148148,346558,1,2,184,1.111111E-03,481
42444.9843263889,346568,1.1,2,185,.00115,484
42444.9843391204,346579,1.3,2,186,1.227778E-03,482
42444.9843541667,346592,1.3,2,187,1.227778E-03,494
42444.984369213,346605,1.2,2,188,1.188889E-03,343
42444.9843831019,346617,1.2,2,189,1.188889E-03,347
42444.9843969907,346629,1.2,2,190,1.188889E-03,376
42444.9844108796,346641,1.1,2,191,.00115,309
42444.9844236111,346652,1.2,2,192,1.188889E-03,351
42444.9844375,346664,1.2,2,193,1.188889E-03,363
42444.9844513889,346676,1.1,2,194,.00115,361
42444.9844641204,346687,1.1,2,195,.00115,537
42444.9844768519,346698,1.1,2,196,.00115,531
42444.9844895833,346709,1.1,2,197,.00115,421
42444.9845023148,346720,1.1,2,198,.00115,341
42444.9845150463,346731,1.2,2,199,1.188889E-03,372
42444.9845289352,346743,1,2,200,1.111111E-03,268
42444.9845405093,346753,1.2,2,201,1.188889E-03,581
42444.9845543982,346765,1.1,2,202,.00115,450
42444.9845671296,346776,1.1,2,203,.00115,411
42444.9845798611,346787,1.2,2,204,1.188889E-03,419
42444.98459375,346799,1.3,2,205,1.227778E-03,418
42444.9846087963,346812,1,2,206,1.111111E-03,332
42444.9846203704,346822,1.2,2,207,1.188889E-03,492
42444.9846342593,346834,1.1,2,208,.00115,261
42444.9846469907,346845,1.2,2,209,1.188889E-03,362
42444.9846608796,346857,1.1,2,210,.00115,342
42444.9846736111,346868,1.2,2,211,1.188889E-03,591
42444.9846875,346880,1.1,2,212,.00115,300
42444.9847002315,346891,1.2,2,213,1.188889E-03,327
42444.9847141204,346903,1.2,2,214,1.188889E-03,334
42444.9847280093,346915,1.3,2,215,1.227778E-03,529
42444.9847430556,346928,1.3,2,216,1.227778E-03,390
42444.9847581019,346941,1,2,217,1.111111E-03,229
42444.9847696759,346951,1.4,2,218,1.266667E-03,373
42444.9847858796,346965,2.4,2,219,1.655556E-03,659
42444.9848136574,346989,1.2,2,220,1.188889E-03,502
42444.9848275463,347001,1.2,2,221,1.188889E-03,172
42444.9848414352,347013,1.2,2,222,1.188889E-03,399
42444.9848553241,347025,1,2,223,1.111111E-03,230
42444.9848668982,347035,1.1,2,224,.00115,447
42444.9848796296,347046,1.1,2,225,.00115,352
42444.9848923611,347057,1.1,2,226,.00115,474
42444.9849050926,347068,.9,2,227,1.072222E-03,351
42444.9849155093,347077,1.1,2,228,.00115,346
42444.9849282407,347088,1.1,2,229,.00115,394
42444.9849409722,347099,1.3,2,230,1.227778E-03,477
42444.9849560185,347112,.8,2,231,1.033333E-03,331
42444.9849652778,347120,1,2,232,1.111111E-03,533
42444.9849768519,347130,1.1,2,233,.00115,502
42444.9849895833,347141,1.1,2,234,.00115,413
42444.9850023148,347152,1.1,2,235,.00115,337
42444.9850150463,347163,1.4,2,236,1.266667E-03,345
42444.98503125,347177,1.2,2,237,1.188889E-03,610
42444.9850451389,347189,1,2,238,1.111111E-03,312
42444.985056713,347199,1.2,2,239,1.188889E-03,539
42444.9850706019,347211,1.2,2,240,1.188889E-03,578
